level_0,index,Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes,compound_df_import,positive_df_import,negative_df_import,neutral_sentiment_df_import,anger_df_import,disgust_df_import,fear_df_import,joy_df_import,neutral_df_import,sadness_df_import,surprise_df_import,compound_df_reviews,positive_df_reviews,negative_df_reviews,neutral_sentiment_df_reviews,anger_df_emotions,disgust_df_emotions,fear_df_emotions,joy_df_emotions,neutral_df_emotions,sadness_df_emotions,surprise_df_emotions
10,10,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",francesca,,Troppo caro,9/24/2024,,Yes,0,0.0,0.0,0.0,1.0,0.0181146245449781,0.0164203736931085,0.0200692135840654,0.021399276331067,0.8506118059158325,0.0250433050096035,0.0483414158225059,0.0,0.0,0.0,1.0,0.01811462827026844,0.0164203904569149,0.020069211721420288,0.02139926329255104,0.8506117463111877,0.025043319910764694,0.048341430723667145
11,11,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Selena,Esenta spray,"This spray is honestly really great I have type one diabetes and Addison disease and when I go to the hospital I have a problem getting the heart monitor stickers off due to having really sensitive skin and let me tell you this spray does not burn, nor do you have a tough time getting the stickers off it's insane I definitely recommend getting this spray if your anything like me.",10/22/2024,5.0,Yes,0,0.8479,0.191,0.087,0.722,0.0519251562654972,0.0586223751306533,0.0333392024040222,0.0262807942926883,0.7548173666000366,0.030473168939352,0.0445419773459434,0.8479,0.191,0.087,0.722,0.05192524939775467,0.05862235650420189,0.03333919122815132,0.026280850172042847,0.7548171281814575,0.030473172664642334,0.04454202577471733
12,12,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Wheeler985,Smells the best out of all I've tried,"I have tried several of the big brand and some smaller brand deodorizing lubricants, and this one by far smells the best. It smells *clean*. I seemed to go through it pretty quickly, though, whereas some lubricants last a lot longer. Overall, though, I'd choose this one. Recommended.",10/20/2024,5.0,Yes,0,0.8481,0.18,0.0,0.82,0.0065349247306585,0.2061906903982162,0.0022122506052255,0.0542371906340122,0.7051949501037598,0.0108370576053857,0.0147928837686777,0.8481,0.18,0.0,0.82,0.006534922402352095,0.2061903476715088,0.0022122468799352646,0.05423713102936745,0.705195426940918,0.010837039910256863,0.014792890287935734
13,13,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",pf,Works,"I use this spray to take off the dressing from my bed twice a week. It works very, very well removing the adhesive around my dressing.",11/1/2024,5.0,Yes,0,0.3962,0.104,0.0,0.896,0.0235937274992465,0.1833092719316482,0.0095244692638516,0.0105956131592392,0.7504589557647705,0.0153132705017924,0.0072046807035803,0.3962,0.104,0.0,0.896,0.02359369955956936,0.1833091378211975,0.009524458087980747,0.010595587082207203,0.7504591941833496,0.015313264913856983,0.007204682566225529
14,14,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",sunshine,Best remover on the market!!!!,We were using the little 2 inch wipes until we ran across this product!!! 1 little spray and stoma bag lifts right off without any pulling.........Wonderful product,10/16/2024,5.0,Yes,0,0.0,0.0,0.0,1.0,0.0188173782080411,0.0051916656084358,0.0133444713428616,0.2878410816192627,0.1877986192703247,0.0229325201362371,0.4640743136405945,0.0,0.0,0.0,1.0,0.018817391246557236,0.005191671662032604,0.013344484381377697,0.28784120082855225,0.187798410654068,0.022932544350624084,0.46407434344291687
15,15,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Hanio,It work very well!,I spray the entire inside of the ostomy bag before mounting. It is alcohol-free and does not cause any irritation.,9/30/2024,5.0,Yes,0,0.4023,0.131,0.0,0.869,0.3502404391765594,0.3299409449100494,0.0056088105775415,0.0039157676510512,0.2799630165100097,0.0267138015478849,0.0036172093823552,0.4023,0.131,0.0,0.869,0.3502403497695923,0.3299410045146942,0.005608801264315844,0.0039157685823738575,0.27996307611465454,0.0267137810587883,0.0036172051914036274
16,16,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Rachel S,Did the job!,Did the job but very expensive.,6/6/2024,4.0,Yes,3,0.0,0.0,0.0,1.0,0.0327277444303035,0.0979571491479873,0.0082622217014431,0.0090734316036105,0.0995926409959793,0.7372903823852539,0.0150965228676795,0.0,0.0,0.0,1.0,0.03272765502333641,0.09795664250850677,0.008262195624411106,0.009073393419384956,0.09959211945533752,0.7372914552688599,0.01509648747742176
17,17,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Brittney L.,Amazing stuff.,I have a baby with a feeding tube and this spray literally saves her baby skin. It doesn't leave any adhesive residue on her and leaves her skin sooo soft. love this.,9/18/2024,5.0,Yes,0,0.654,0.165,0.0,0.835,0.0037029590457677,0.0180150028318166,0.0019053511787205,0.8439216017723083,0.0954342484474182,0.0243271458894014,0.0126936165615916,0.654,0.165,0.0,0.835,0.003702959744259715,0.018014999106526375,0.0019053496653214097,0.8439217805862427,0.09543424099683762,0.0243271104991436,0.012693598866462708
18,18,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Shellie Rouse,Great product!,Same as used in the hospital on my grandbaby.. Works great and fast too. No ouchoes with this spray..I highly recommend this product and seller as well.Packaged and delivered with Care an d prompt..,9/1/2024,5.0,Yes,0,0.8357,0.244,0.053,0.702,0.0069331168197095,0.0107811335474252,0.0078378785401582,0.082888975739479,0.604526937007904,0.1287521421909332,0.1582797914743423,0.8357,0.244,0.053,0.702,0.006933107972145081,0.01078111957758665,0.007837875746190548,0.08288904279470444,0.6045267581939697,0.12875217199325562,0.1582798957824707
19,19,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Leslie,Wish insurance covered this,This worked great for removing the tape from my wound vac but unfortunately insurance only pays for it if you have an ostomy 😞,8/26/2024,5.0,Yes,0,-0.1406,0.096,0.116,0.788,0.0083666536957025,0.0205099992454051,0.0332400798797607,0.0090533839538693,0.5211610198020935,0.3756975531578064,0.0319713354110717,-0.1406,0.096,0.116,0.788,0.008366634137928486,0.020509963855147362,0.033240046352148056,0.009053400717675686,0.5211609601974487,0.37569770216941833,0.0319712869822979
20,20,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Adam C. West,Get it for your kids,I had to take my 3yo to the hospital and they placed an IV with A LOT of tape. When she got better and was being discharged the nurse used this exact product to loosen the tape. It worked so well I bought a couple cans for the future. Now whenever it’s time to peel off a bandage we use the spray for no tears.,8/2/2024,5.0,Yes,0,0.3697,0.086,0.062,0.852,0.0200575049966573,0.1290746331214904,0.0111123984679579,0.0044387513771653,0.7923297882080078,0.0274349935352802,0.0155518595129251,0.3697,0.086,0.062,0.852,0.020057503134012222,0.12907463312149048,0.011112388223409653,0.0044387513771653175,0.7923297882080078,0.02743498422205448,0.015551842749118805
